Seymour,Baltra,Isabella,Fernandina,Santiago,Rabida,Pinzon,Santa Cruz,Santa Fe,San Cristobal,Espanola,Floreana,Genovesa,Marchena,Pinta,Darwin,Wolf
Large ground finch,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
Medium ground finch,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0
Small ground finch,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0
Sharp-beaked ground finch,0,0,1,1,1,0,0,1,0,1,0,1,1,0,1,1,1
Cactus ground finch,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0
Large cactus ground finch,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Large tree finch,0,0,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0
Medium tree finch,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Small tree finch,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0
Vegetarian finch,0,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0
Woodpecker finch,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0
Mangrove finch,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Warbler finch,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
